Ticker,Price as of close 2023-07-17,Allocation
MMM,101.69999694824219,0.0
AOS,75.0,0.0
ABT,107.0,0.0
ABBV,134.8300018310547,0.0
ACN,319.7799987792969,0.0
ATVI,93.20999908447266,52.0
ADM,79.55999755859375,0.0
ADBE,522.0,0.0
ADP,233.72000122070312,0.0
AAP,69.4800033569336,0.0
AES,21.3799991607666,0.0
AFL,70.37999725341797,0.0
A,118.25,0.0
APD,299.2799987792969,0.0
AKAM,92.45999908447266,0.0
ALK,52.15999984741211,0.0
ALB,237.66000366210938,0.0
ARE,117.4800033569336,0.0
ALGN,370.3599853515625,0.0
ALLE,124.19000244140625,0.0
LNT,53.29999923706055,0.0
ALL,102.41000366210938,0.0
GOOGL,124.6500015258789,0.0
GOOG,125.05999755859375,0.0
MO,45.380001068115234,0.0
AMZN,133.55999755859375,0.0
AMCR,9.880000114440918,0.0
AMD,118.31999969482422,0.0
AEE,84.43000030517578,0.0
AAL,18.18000030517578,0.0
AEP,85.4800033569336,0.0
AXP,175.38999938964844,0.0
AIG,59.099998474121094,0.0
AMT,186.25999450683594,0.0
AWK,144.07000732421875,0.0
AMP,343.0,0.0
ABC,192.13999938964844,0.0
AME,157.89999389648438,0.0
AMGN,227.83999633789062,0.0
APH,85.18000030517578,0.0
ADI,196.36000061035156,0.0
ANSS,347.8299865722656,0.0
AON,337.489990234375,0.0
APA,36.33000183105469,0.0
AAPL,193.99000549316406,0.0
AMAT,145.5,0.0
APTV,109.2300033569336,0.0
ACGL,80.61000061035156,0.0
ANET,170.4199981689453,0.0
AJG,217.1999969482422,0.0
AIZ,124.6500015258789,0.0
T,13.529999732971191,0.0
ATO,119.69000244140625,0.0
ADSK,213.72999572753906,0.0
AZO,2544.22998046875,0.0
AVB,194.07000732421875,0.0
AVY,176.77999877929688,0.0
AXON,196.16000366210938,0.0
BKR,34.650001525878906,0.0
BALL,55.970001220703125,0.0
BAC,29.399999618530273,0.0
BBWI,36.150001525878906,0.0
BAX,46.54999923706055,0.0
BDX,256.6400146484375,0.0
WRB,60.529998779296875,0.0
BRK-B,344.25,0.0
BBY,82.2699966430664,0.0
BIO,387.7099914550781,0.0
TECH,82.80000305175781,0.0
BIIB,278.3999938964844,0.0
BLK,727.8699951171875,0.0
BK,43.540000915527344,0.0
BA,211.8699951171875,0.0
BKNG,2949.659912109375,0.0
BWA,45.400001525878906,0.0
BXP,60.90999984741211,0.0
BSX,52.61000061035156,0.0
BMY,61.849998474121094,0.0
AVGO,910.3499755859375,0.0
BR,166.72999572753906,0.0
BRO,69.88999938964844,0.0
BF-B,66.68000030517578,0.0
BG,101.70999908447266,0.0
CHRW,94.8499984741211,0.0
CDNS,244.44000244140625,0.0
CZR,52.470001220703125,0.0
CPT,110.75,0.0
CPB,44.939998626708984,0.0
COF,113.43000030517578,0.0
CAH,93.47000122070312,0.0
KMX,83.69000244140625,0.0
CCL,17.709999084472656,0.0
CARR,54.560001373291016,536.0
CTLT,46.459999084472656,0.0
CAT,257.4599914550781,0.0
CBOE,141.02999877929688,0.0
CBRE,88.13999938964844,0.0
CDW,189.61000061035156,0.0
CE,121.04000091552734,0.0
CNC,65.06999969482422,0.0
CNP,29.68000030517578,0.0
CDAY,70.63999938964844,0.0
CF,73.93000030517578,0.0
CRL,209.33999633789062,0.0
SCHW,58.63999938964844,0.0
CHTR,374.80999755859375,0.0
CVX,153.44000244140625,0.0
CMG,2127.510009765625,0.0
CB,191.6699981689453,0.0
CHD,98.38999938964844,0.0
CI,281.1600036621094,0.0
CINF,98.36000061035156,0.0
CTAS,503.6700134277344,0.0
CSCO,50.810001373291016,0.0
C,46.2599983215332,0.0
CFG,28.079999923706055,0.0
CLX,153.50999450683594,0.0
CME,185.25,0.0
CMS,60.0,0.0
KO,60.810001373291016,0.0
CTSH,68.44000244140625,0.0
CL,75.58000183105469,0.0
CMCSA,42.09000015258789,0.0
CMA,48.060001373291016,0.0
CAG,32.279998779296875,0.0
COP,106.44000244140625,0.0
ED,92.41999816894531,0.0
STZ,254.55999755859375,0.0
CEG,96.18000030517578,452.0
COO,393.9700012207031,0.0
CPRT,93.73999786376953,0.0
GLW,33.599998474121094,0.0
CTVA,54.59000015258789,0.0
CSGP,90.61000061035156,0.0
COST,552.9600219726562,0.0
CTRA,25.520000457763672,0.0
CCI,109.98999786376953,0.0
CSX,33.220001220703125,0.0
CMI,255.1199951171875,0.0
CVS,71.16999816894531,0.0
DHI,128.0500030517578,0.0
DHR,237.75999450683594,0.0
DRI,169.25,0.0
DVA,104.52999877929688,0.0
DE,420.6000061035156,0.0
DAL,46.79999923706055,0.0
XRAY,40.56999969482422,0.0
DVN,48.91999816894531,0.0
DXCM,137.4499969482422,0.0
FANG,135.47000122070312,0.0
DLR,118.20999908447266,0.0
DFS,120.37000274658203,0.0
DIS,85.55999755859375,0.0
DG,161.1300048828125,0.0
DLTR,149.11000061035156,0.0
D,51.310001373291016,0.0
DPZ,389.739990234375,7.0
DOV,148.89999389648438,0.0
DOW,52.43000030517578,0.0
DTE,110.66000366210938,0.0
DUK,91.77999877929688,0.0
DD,72.58000183105469,0.0
DXC,27.959999084472656,0.0
EMN,86.51000213623047,0.0
ETN,205.9600067138672,0.0
EBAY,47.189998626708984,0.0
ECL,187.57000732421875,0.0
EIX,69.88999938964844,0.0
EW,92.6500015258789,0.0
EA,138.25,0.0
ELV,437.1700134277344,0.0
LLY,447.1400146484375,56.0
EMR,91.31999969482422,0.0
ENPH,189.6699981689453,0.0
ETR,98.73999786376953,0.0
EOG,118.68000030517578,0.0
EPAM,242.88999938964844,0.0
EQT,38.459999084472656,0.0
EFX,237.13999938964844,0.0
EQIX,807.5700073242188,0.0
EQR,67.8499984741211,0.0
ESS,242.52999877929688,0.0
EL,192.64999389648438,0.0
ETSY,93.4000015258789,0.0
EG,359.0199890136719,0.0
EVRG,59.45000076293945,0.0
ES,72.18000030517578,0.0
EXC,41.779998779296875,0.0
EXPE,121.13999938964844,0.0
EXPD,122.01000213623047,0.0
EXR,156.4199981689453,0.0
XOM,101.37999725341797,0.0
FFIV,148.11000061035156,0.0
FDS,420.1000061035156,0.0
FICO,837.239990234375,0.0
FAST,57.279998779296875,0.0
FRT,100.7699966430664,0.0
FDX,254.72999572753906,0.0
FITB,27.309999465942383,0.0
FSLR,206.7100067138672,0.0
FE,39.2400016784668,0.0
FIS,58.36000061035156,0.0
FI,128.50999450683594,0.0
FLT,258.4800109863281,0.0
FMC,95.41000366210938,0.0
F,14.09000015258789,0.0
FTNT,80.27999877929688,0.0
FTV,74.73999786376953,0.0
FOXA,33.439998626708984,0.0
FOX,31.350000381469727,0.0
BEN,28.899999618530273,0.0
FCX,40.459999084472656,0.0
GRMN,106.4000015258789,0.0
IT,371.07000732421875,0.0
GEHC,81.19000244140625,852.0
GEN,18.8700008392334,0.0
GNRC,142.8800048828125,0.0
GD,216.3699951171875,0.0
GE,111.13999938964844,0.0
GIS,74.30999755859375,0.0
GM,38.75,0.0
GPC,166.6699981689453,0.0
GILD,77.4800033569336,0.0
GL,110.91999816894531,0.0
GPN,112.30000305175781,0.0
GS,327.20001220703125,0.0
HAL,37.36000061035156,0.0
HIG,72.22000122070312,0.0
HAS,64.0,0.0
HCA,291.8599853515625,0.0
PEAK,21.170000076293945,0.0
HSIC,80.2300033569336,0.0
HSY,239.4499969482422,0.0
HES,134.5,0.0
HPE,17.049999237060547,0.0
HLT,149.0,0.0
HOLX,78.95999908447266,0.0
HD,316.04998779296875,0.0
HON,208.1699981689453,0.0
HRL,39.38999938964844,0.0
HST,17.440000534057617,0.0
HWM,50.20000076293945,0.0
HPQ,32.81999969482422,0.0
HUM,434.4100036621094,0.0
HBAN,11.399999618530273,0.0
HII,233.0800018310547,0.0
IBM,134.24000549316406,0.0
IEX,210.60000610351562,0.0
IDXX,551.8400268554688,0.0
ITW,251.1699981689453,0.0
ILMN,184.13999938964844,0.0
INCY,61.08000183105469,0.0
IR,66.29000091552734,0.0
PODD,287.9599914550781,0.0
INTC,34.369998931884766,0.0
ICE,116.63999938964844,0.0
IFF,79.4800033569336,0.0
IP,30.989999771118164,0.0
IPG,40.290000915527344,0.0
INTU,490.82000732421875,0.0
ISRG,353.8399963378906,0.0
IVZ,17.600000381469727,0.0
INVH,35.33000183105469,0.0
IQV,221.3699951171875,0.0
IRM,61.279998779296875,0.0
JBHT,183.3800048828125,0.0
JKHY,168.32000732421875,0.0
J,122.0999984741211,0.0
JNJ,159.07000732421875,0.0
JCI,69.37000274658203,0.0
JPM,153.3800048828125,0.0
JNPR,29.329999923706055,0.0
K,66.72000122070312,0.0
KDP,31.610000610351562,189.0
KEY,10.289999961853027,0.0
KEYS,170.42999267578125,0.0
KMB,134.5399932861328,0.0
KIM,20.639999389648438,0.0
KMI,17.1299991607666,0.0
KLAC,490.3800048828125,0.0
KHC,35.5099983215332,0.0
KR,46.540000915527344,0.0
LHX,197.97000122070312,0.0
LH,212.58999633789062,0.0
LRCX,660.0700073242188,0.0
LW,113.0,24.0
LVS,59.400001525878906,0.0
LDOS,90.4800033569336,0.0
LEN,130.38999938964844,0.0
LNC,26.56999969482422,0.0
LIN,382.1099853515625,0.0
LYV,94.29000091552734,0.0
LKQ,58.619998931884766,0.0
LMT,469.9700012207031,0.0
L,60.11000061035156,0.0
LOW,227.97000122070312,0.0
LYB,90.88999938964844,0.0
MTB,131.35000610351562,0.0
MRO,23.959999084472656,0.0
MPC,118.12999725341797,0.0
MKTX,255.3000030517578,0.0
MAR,191.2899932861328,0.0
MMC,188.3800048828125,0.0
MLM,458.1199951171875,0.0
MAS,60.470001220703125,0.0
MA,402.20001220703125,0.0
MTCH,48.4900016784668,0.0
MKC,85.75,0.0
MCD,294.67999267578125,0.0
MCK,411.6700134277344,0.0
MDT,86.70999908447266,0.0
MRK,105.56999969482422,0.0
META,310.6199951171875,0.0
MET,59.0,0.0
MTD,1328.4599609375,0.0
MGM,48.189998626708984,0.0
MCHP,92.18000030517578,0.0
MU,65.16000366210938,0.0
MSFT,345.7300109863281,0.0
MAA,153.49000549316406,0.0
MRNA,122.5999984741211,38.0
MHK,112.80000305175781,0.0
MOH,299.9100036621094,0.0
TAP,67.98999786376953,0.0
MDLZ,71.94000244140625,0.0
MPWR,588.719970703125,0.0
MNST,57.290000915527344,0.0
MCO,356.4100036621094,0.0
MS,86.37000274658203,0.0
MOS,35.7599983215332,0.0
MSI,291.489990234375,0.0
MSCI,499.25,0.0
NDAQ,50.900001525878906,0.0
NTAP,78.0199966430664,0.0
NFLX,450.04998779296875,0.0
NWL,9.630000114440918,0.0
NEM,44.619998931884766,0.0
NWSA,20.399999618530273,0.0
NWS,20.639999389648438,0.0
NEE,72.66000366210938,0.0
NKE,108.70999908447266,0.0
NI,27.469999313354492,0.0
NDSN,247.27000427246094,0.0
NSC,233.17999267578125,0.0
NTRS,70.47000122070312,0.0
NOC,454.239990234375,0.0
NCLH,20.760000228881836,0.0
NRG,36.349998474121094,0.0
NUE,167.42999267578125,0.0
NVDA,464.6099853515625,17.0
NVR,6408.97998046875,0.0
NXPI,219.6199951171875,0.0
ORLY,968.9600219726562,0.0
OXY,59.290000915527344,0.0
ODFL,383.2799987792969,0.0
OMC,98.2300033569336,0.0
ON,104.33000183105469,0.0
OKE,63.40999984741211,0.0
ORCL,118.88999938964844,0.0
OGN,20.3799991607666,0.0
OTIS,88.54000091552734,0.0
PCAR,87.55999755859375,0.0
PKG,133.99000549316406,0.0
PANW,250.0500030517578,0.0
PARA,15.359999656677246,0.0
PH,400.95001220703125,0.0
PAYX,121.02999877929688,0.0
PAYC,358.989990234375,0.0
PYPL,73.48999786376953,0.0
PNR,65.94000244140625,0.0
PEP,185.6300048828125,0.0
PFE,35.86000061035156,0.0
PCG,17.829999923706055,0.0
PM,98.94999694824219,0.0
PSX,99.04000091552734,0.0
PNW,82.43000030517578,0.0
PXD,207.0,0.0
PNC,127.16000366210938,0.0
POOL,360.0199890136719,0.0
PPG,151.1999969482422,0.0
PPL,26.450000762939453,0.0
PFG,80.56999969482422,0.0
PG,148.99000549316406,0.0
PGR,121.94999694824219,11.0
PLD,127.9800033569336,0.0
PRU,92.5,0.0
PEG,62.91999816894531,0.0
PTC,146.5500030517578,0.0
PSA,300.57000732421875,0.0
PHM,81.69999694824219,0.0
QRVO,107.37999725341797,0.0
PWR,199.30999755859375,0.0
QCOM,123.4000015258789,0.0
DGX,139.91000366210938,0.0
RL,125.98999786376953,0.0
RJF,106.62000274658203,0.0
RTX,96.31999969482422,0.0
O,61.290000915527344,0.0
REG,63.84000015258789,0.0
REGN,721.6099853515625,0.0
RF,19.200000762939453,0.0
RSG,150.13999938964844,0.0
RMD,220.77000427246094,0.0
RVTY,121.0,0.0
RHI,83.37999725341797,0.0
ROK,342.5799865722656,0.0
ROL,44.59000015258789,0.0
ROP,476.5299987792969,0.0
ROST,110.25,0.0
RCL,98.76000213623047,0.0
SPGI,417.3900146484375,0.0
CRM,228.0,0.0
SBAC,226.14999389648438,0.0
SLB,56.5099983215332,0.0
STX,60.95000076293945,0.0
SEE,44.43000030517578,0.0
SRE,146.1199951171875,0.0
NOW,592.3800048828125,0.0
SHW,267.8299865722656,0.0
SPG,121.6500015258789,0.0
SWKS,114.91999816894531,0.0
SJM,148.47999572753906,0.0
SNA,294.760009765625,0.0
SEDG,283.8500061035156,0.0
SO,70.18000030517578,0.0
LUV,36.27000045776367,0.0
SWK,97.2300033569336,0.0
SBUX,100.93000030517578,0.0
STT,66.51000213623047,0.0
STLD,106.94000244140625,0.0
STE,228.35000610351562,0.0
SYK,298.6199951171875,0.0
SYF,35.5099983215332,0.0
SNPS,461.17999267578125,0.0
SYY,73.41000366210938,0.0
TMUS,138.0,21.0
TROW,117.87000274658203,0.0
TTWO,152.7100067138672,0.0
TPR,42.95000076293945,0.0
TRGP,77.69999694824219,0.0
TGT,130.00999450683594,0.0
TEL,142.77000427246094,0.0
TDY,414.6700134277344,0.0
TFX,247.25,0.0
TER,116.25,0.0
TSLA,290.3800048828125,0.0
TXN,183.39999389648438,0.0
TXT,67.44999694824219,0.0
TMO,525.260009765625,0.0
TJX,85.0999984741211,0.0
TSCO,210.80999755859375,0.0
TT,198.85000610351562,0.0
TDG,886.25,0.0
TRV,168.58999633789062,0.0
TRMB,53.720001220703125,0.0
TFC,33.43000030517578,0.0
TYL,421.75,0.0
TSN,51.880001068115234,0.0
USB,35.2599983215332,0.0
UDR,42.84000015258789,0.0
ULTA,472.7200012207031,0.0
UNP,209.86000061035156,0.0
UAL,53.33000183105469,0.0
UPS,182.74000549316406,0.0
URI,451.489990234375,0.0
UNH,484.0799865722656,0.0
UHS,153.44000244140625,0.0
VLO,113.70999908447266,0.0
VTR,47.90999984741211,0.0
VRSN,215.30999755859375,0.0
VRSK,229.97000122070312,0.0
VZ,31.459999084472656,0.0
VRTX,357.9800109863281,0.0
VFC,19.110000610351562,0.0
VTRS,10.010000228881836,0.0
VICI,31.549999237060547,0.0
V,243.99000549316406,0.0
VMC,223.7100067138672,0.0
WAB,112.66000366210938,0.0
WBA,29.1200008392334,0.0
WMT,154.85000610351562,0.0
WBD,12.3100004196167,0.0
WM,167.75999450683594,0.0
WAT,269.8299865722656,0.0
WEC,89.5199966430664,0.0
WFC,44.7400016784668,0.0
WELL,79.27999877929688,0.0
WST,383.6199951171875,0.0
WDC,39.13999938964844,0.0
WRK,29.40999984741211,0.0
WY,34.33000183105469,0.0
WHR,151.6999969482422,0.0
WMB,33.0099983215332,0.0
WTW,229.63999938964844,0.0
GWW,764.0,0.0
WYNN,107.0199966430664,0.0
XEL,63.209999084472656,0.0
